ID,Timestamp,X,Y,Z
2807,2024-09-06 02:39:31.062+00:00,0.314,-0.168,10.106
2807,2024-09-06 02:39:31.222+00:00,0.323,-0.153,10.104
2807,2024-09-06 02:39:31.381+00:00,0.316,-0.172,10.094
2807,2024-09-06 02:39:31.542+00:00,0.311,-0.16,10.101
2807,2024-09-06 02:39:31.704+00:00,0.311,-0.163,10.087
2807,2024-09-06 02:39:31.861+00:00,0.306,-0.187,10.101
2807,2024-09-06 02:39:32.023+00:00,0.309,-0.17,10.101
2807,2024-09-06 02:39:32.182+00:00,0.309,-0.172,10.113
2807,2024-09-06 02:39:32.341+00:00,0.311,-0.184,10.116
2807,2024-09-06 02:39:32.503+00:00,0.302,-0.175,10.094
2807,2024-09-06 02:39:32.663+00:00,0.297,-0.146,10.096
2807,2024-09-06 02:39:32.823+00:00,0.309,-0.177,10.116
2807,2024-09-06 02:39:32.981+00:00,0.304,-0.165,10.12
2807,2024-09-06 02:39:33.143+00:00,0.309,-0.17,10.113
2807,2024-09-06 02:39:33.299+00:00,0.302,-0.17,10.101
2807,2024-09-06 02:39:33.459+00:00,0.326,-0.194,10.108
2807,2024-09-06 02:39:33.623+00:00,0.316,-0.182,10.092
2807,2024-09-06 02:39:33.781+00:00,0.316,-0.182,10.111
2807,2024-09-06 02:39:33.943+00:00,0.318,-0.177,10.106
2807,2024-09-06 02:39:34.103+00:00,0.314,-0.18,10.094
2807,2024-09-06 02:39:34.259+00:00,0.294,-0.172,10.108
2807,2024-09-06 02:39:34.421+00:00,0.306,-0.163,10.099
2807,2024-09-06 02:39:34.583+00:00,0.311,-0.168,10.104
2807,2024-09-06 02:39:34.743+00:00,0.304,-0.17,10.106
2807,2024-09-06 02:39:34.901+00:00,0.302,-0.158,10.111
2807,2024-09-06 02:39:35.063+00:00,0.304,-0.16,10.106
2807,2024-09-06 02:39:35.223+00:00,0.304,-0.18,10.108
2807,2024-09-06 02:39:35.381+00:00,0.33,-0.17,10.12
2807,2024-09-06 02:39:35.543+00:00,0.321,-0.153,10.108
2807,2024-09-06 02:39:35.703+00:00,0.304,-0.165,10.092
2807,2024-09-06 02:39:35.863+00:00,0.33,-0.158,10.118
2807,2024-09-06 02:39:36.023+00:00,0.311,-0.175,10.106
